FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Landing URL Button Name,Image info (URL)
1,매개체감염병 기본정보,개요,,,,매개체감염병이란 무엇인가요?,"매개체감염병이란 모기·진드기·벼룩 등 살아있는 곤충(매개체)이 바이러스, 세균, 기생충 등 병원체를 사람에게 옮겨 발생하는 감염병을 말해요. 우리나라에서는 모기 매개 말라리아·뎅기열, 진드기 매개 SFTS·쯔쯔가무시증·라임병 등이 대표적이에요. 매개체의 활동 시기(주로 봄~가을)에 야외활동 시 각별히 주의하고, 물리지 않도록 예방수칙을 실천하는 것이 중요하답니다.",https://www.kdca.go.kr,자세히 보기,
2,매개체감염병 기본정보,개요,,,,우리나라에서 주로 발생하는 매개체감염병은 무엇인가요?,"국내에서 주로 발생하는 매개체감염병으로는 모기 매개인 말라리아, 진드기 매개인 SFTS(중증열성혈소판감소증후군)·쯔쯔가무시증·라임병이 있어요. 해외여행 후 국내로 유입되는 질병으로는 뎅기열·지카바이러스감염증·웨스트나일열 등이 있습니다. 특히 쯔쯔가무시증은 매년 수천 건 이상 신고되는 가장 흔한 진드기매개감염병이며, SFTS는 치명률이 높아 특별한 주의가 필요해요.",https://www.kdca.go.kr,자세히 보기,
3,매개체감염병 기본정보,개요,,,,매개체감염병은 사람 간 전파가 되나요?,"대부분의 매개체감염병은 모기·진드기 등 매개체를 통해서만 전파되며 사람 간 직접 전파는 일반적으로 일어나지 않아요. 다만 SFTS(중증열성혈소판감소증후군)의 경우, 중증 환자나 사망자의 혈액·체액에 직접 노출될 경우 예외적으로 사람 간 전파가 가능한 것으로 알려져 있어요. 따라서 SFTS 환자를 간호하거나 치료할 때는 장갑·마스크·가운 등 개인보호장구를 반드시 착용해야 합니다.",https://www.kdca.go.kr,자세히 보기,
4,매개체감염병 기본정보,개요,,,,기후변화와 매개체감염병은 어떤 관계가 있나요?,기후변화로 기온이 상승하면 모기와 진드기의 서식 범위가 확대되고 활동 기간이 길어져 매개체감염병 발생 위험이 높아져요. 국내 말라리아 위험지역이 기존 30개 시군구에서 2024년 53개로 확대된 것도 이러한 변화를 반영한 것이랍니다. 열대·아열대 기후에서 유행하던 뎅기열·지카바이러스감염증 등이 국내로 유입될 가능성도 커지고 있어요. 그만큼 야외활동 시 매개체 예방수칙을 평소에 꾸준히 실천하는 것이 중요합니다.,https://www.kdca.go.kr,자세히 보기,
5,매개체감염병 기본정보,개요,,,,매개체감염병 예방에서 가장 중요한 것은 무엇인가요?,"매개체감염병 예방의 핵심은 모기나 진드기에 물리지 않는 것이에요. 야외활동 시 긴 소매·긴 바지를 착용하고, 피부 노출 부위에 기피제를 뿌려 주세요. 진드기가 많은 풀밭·숲에서는 옷 속으로 진드기가 침입하지 못하도록 소매와 바지단을 여며야 해요. 귀가 후에는 샤워하며 온몸을 꼼꼼히 확인하고, 의심 증상(발열·두통·발진 등)이 나타나면 즉시 의료기관을 방문해 야외활동 이력을 알리는 것이 중요합니다.",https://www.kdca.go.kr,자세히 보기,
6,말라리아,말라리아,,,,말라리아란 무엇인가요?,"말라리아는 말라리아 원충(Plasmodium)에 감염된 얼룩날개모기류(Anopheles)에 물려 감염되는 기생충 질환이에요. 사람에게 감염되는 말라리아 원충은 삼일열·열대열·사일열·난형열 4종류가 있으며, 국내에서는 삼일열 말라리아가 주로 발생해요. 삼일열 말라리아는 48시간 주기로 발열이 반복되는 것이 특징이며, 완치가 가능한 질병이랍니다. 전 세계적으로는 열대열 말라리아가 치명적인 경우가 많아 해외여행 전 반드시 예방약 복용 여부를 확인해야 해요.",https://www.kdca.go.kr,자세히 보기,
7,말라리아,말라리아,,,,말라리아 증상이 어떻게 되나요?,"말라리아의 주요 증상은 발열, 오한(심하게 춥고 떨림), 발한, 두통, 근육통, 오심, 구토 등이에요. 국내에서 발생하는 삼일열 말라리아는 48시간(2일) 간격으로 오한→고열→발한 순서로 증상이 반복되는 것이 특징이에요. 초기에는 전신 권태감·피로감만 나타날 수 있어 감기와 혼동되기 쉬워요. 말라리아 위험지역 거주자나 방문자가 37.5℃ 이상 발열이 있으면 반드시 말라리아를 의심하고 보건소나 의료기관에서 신속진단검사(RDT)를 받아보세요.",https://www.kdca.go.kr,자세히 보기,
8,말라리아,말라리아,,,,국내 말라리아 위험지역은 어디인가요?,"2024년 기준 국내 말라리아 위험지역은 서울(13개), 경기(22개), 인천(10개), 강원(8개) 4개 시·도 내 총 53개 시군구예요. 기존 30개에서 환자 발생 이동 추세를 반영하여 2024년부터 확대되었어요. 특히 휴전선 인접 지역인 파주·철원·강화 등에서 환자 발생이 많으며, 해당 지역에서 야간 야외활동 시 각별한 주의가 필요해요. 위험지역 거주자나 방문자 중 의심 증상이 있으면 가까운 보건소에서 무료 검사를 받을 수 있답니다.",https://www.kdca.go.kr,자세히 보기,
9,말라리아,말라리아,,,,말라리아 잠복기는 얼마나 되나요?,"말라리아 잠복기는 원충 종류에 따라 다양해요. 국내 삼일열 말라리아는 단기 잠복기(12~18일)와 장기 잠복기(6~12개월) 두 가지 유형이 있어요. 특히 장기 잠복기 유형은 모기에 물린 해가 아닌 이듬해 봄에 발병하는 경우도 있어서, 전년도 위험지역 방문 후 별 이상이 없었더라도 이듬해 발열이 생기면 말라리아 검사를 꼭 받아보세요. 열대열은 7~14일, 사일열은 18~40일, 난형열은 12~18일 정도예요.",https://www.kdca.go.kr,자세히 보기,
10,말라리아,말라리아,,,,말라리아 예방약이 있나요?,"네, 말라리아 예방약이 있어요. 주요 예방약으로는 클로로퀸(주 1회, 출발 1주 전부터 귀국 후 4주간), 독시사이클린(매일 복용, 출발 2일 전~귀국 후 4주간), 아토바쿠온/프로구아닐 복합제(매일 복용, 출발 1~2일 전~귀국 후 7일간), 메플로퀸(주 1회, 출발 1~2주 전~귀국 후 4주간) 등이 있어요. 지역별 약제 내성 양상이 다르므로, 여행 전 반드시 감염내과 전문의나 보건소에서 방문 국가에 맞는 예방약을 처방받으세요.",https://www.kdca.go.kr,자세히 보기,
